word,count
beam,7310
laser,20701
said,45397
scan,25064
path,43952
mirror,27424
optic,50093
apparatus,54662
direct,65170
radiat,39310
focus,33051
axi,32754
rotat,29846
mean,44617
method,40545
polar,21657
reflect,54034
sourc,55763
angl,40649
plane,34757
detector,20642
generat,47666
diffract,31760
irradi,27656
splitter,20417
deflect,13690
sampl,14274
posit,42754
collim,30047
accord,62384
element,57188
incid,49991
second,71538
pass,58489
record,27404
len,35609
target,20674
measur,14408
arrang,66927
spot,21380
relat,51304
step,41572
object,28562
produc,46245
adjust,55835
split,19770
parallel,41817
substanti,60654
wavelength,40231
refer,26106
phase,32557
puls,21107
respect,61404
medium,34024
pattern,38847
differ,62158
use,49988
point,38702
linear,35912
energi,33545
spatial,30705
apertur,37777
microscop,19739
detect,20623
stage,25108
perpendicular,34288
compon,59353
wave,31472
separ,57725
align,50437
project,27434
field,38897
orient,41029
combin,51415
form,61223
mechan,32039
grate,23756
chang,50296
coher,23266
interfer,25409
provid,68889
converg,19969
locat,59375
intens,29160
surfac,42373
displac,32915
oscil,17024
rang,47584
character,48487
scanner,13459
collect,41732
line,53015
orthogon,37488
exposur,30897
select,48463
deflector,12433
electromagnet,31792
adapt,33507
illumin,42054
tilt,30729
degre,47448
movabl,37059
array,52482
angular,26047
configur,60377
condens,25703
dimension,35185
process,32010
particl,25722
workpiec,6779
focal,28499
singl,49868
inspect,19348
defin,57599
magnet,27884
mask,20458
diverg,22599
cancel,56572
distanc,43084
axe,35316
caus,51623
predetermin,54856
aberr,22054
shift,43984
chamber,24577
vari,49282
head,31378
hologram,21888
prism,37083
distribut,43942
order,44526
includ,70408
imping,29743
specimen,20960
multipl,43970
region,60771
appli,38791
approxim,53404
movement,36921
place,53034
frequenc,30385
correct,32067
creat,34572
travel,34022
shape,44540
profil,43017
secondari,37088
disc,23775
disk,30005
scatter,41256
reflector,33252
common,47540
actuat,30507
partial,45451
excit,25514
holograph,24869
high,49284
wafer,24976
reproduc,24700
ray,38031
propag,19974
support,39084
translat,18002
hold,34539
dimens,36046
track,28505
light,63903
primari,38743
circular,43685
size,54237
cell,41901
desir,40049
cylindr,30077
normal,50937
divid,47664
mark,25004
dichroic,27043
simultan,30472
lithograph,16018
interferomet,18264
downstream,24819
obtain,42605
center,39778
return,22721
area,54178
plural,63318
offset,35525
time,44683
perform,38544
wavefront,21324
spheric,31410
pair,57850
cross,25702
intersect,25619
continu,44215
charg,37190
equal,57240
compens,35063
capabl,59570
motor,24454
depend,42599
numer,30336
radial,30283
design,49962
pupil,20113
addit,47737
half,42693
probe,24059
speed,19730
pickup,27988
allow,54123
zone,44481
carri,39868
diamet,38322
fix,38590
exit,31038
transvers,28257
analyz,22036
coincid,26297
vertic,47343
output,43159
reduc,57391
result,31614
manner,55522
effect,48406
expand,30093
length,45625
recit,51171
slit,26137
multi,36579
individu,40438
modifi,29722
variabl,46114
width,53657
transmit,59801
filter,38374
devic,68406
make,57058
holder,29986
materi,46583
space,56725
photosensit,32266
observ,39265
contain,33670
quarter,18465
introduc,30565
transform,34971
structur,40413
zero,41385
reson,19460
treatment,23499
error,18435
state,63946
volum,34234
depth,40657
plasma,30418
work,31337
spectromet,17559
enter,44988
forth,55479
control,41427
steer,21777
prefer,34645
substrat,38755
symmetr,27802
spectral,32005
vacuum,17693
carrier,34998
photodetector,22993
semiconductor,33333
properti,32337
particular,38142
fring,20017
birefring,26884
remov,36339
defect,22513
tabl,29297
lens,35755
maintain,34040
machin,26560
confoc,15113
main,45155
ablat,14430
electrostat,22915
near,54053
conjug,21859
deviat,31060
construct,38175
window,40316
densiti,33559
flux,36379
deliv,23383
expos,36575
develop,26071
homogen,37860
assembl,39925
extrem,16190
collector,21995
uniform,46509
write,26094
mutual,43483
induc,22806
lie,38324
manufactur,31921
ellipt,26839
upstream,22395
convert,44950
cut,22178
segment,41036
acceler,18001
transfer,39608
polygon,18945
repetit,16216
concentr,47193
inform,32028
absorpt,38245
consist,49897
constant,46814
lithographi,15808
reach,37881
retard,26095
ultraviolet,30253
independ,46488
tube,29286
redirect,27541
analysi,15921
coat,31331
travers,20730
intermedi,36497
axial,32126
mount,26134
azimuth,22784
stationari,24975
veloc,16398
weld,15253
limit,43511
fourier,30869
ion,20239
rotari,22298
alter,30712
interact,30676
entranc,27041
cool,27714
facet,22245
integr,49189
essenti,39369
dispers,38914
impart,23939
variat,29166
moveabl,19018
pivot,20986
free,42004
tomographi,20200
liquid,17314
relay,26605
astigmat,11786
greater,56392
function,50304
passag,24398
amplitud,18785
flow,41590
harmon,16811
situat,37746
grid,34923
acousto,11235
reticl,14978
fast,21165
prior,30924
characterist,36250
treat,21072
repeat,37735
coil,30525
success,39138
synchron,29647
beamsplitt,15046
suitabl,34852
central,42271
strike,19964
absorb,35613
given,43267
immers,25645
obliqu,23806
suffici,31600
pinhol,14829
crystal,19474
horizont,37025
telescop,23772
fluid,42143
forc,38670
fluoresc,42339
overlap,43567
symmetri,24490
test,24375
modul,53145
pitch,41689
small,42886
micro,45293
wedg,24831
come,29431
trajectori,17130
