years_to_publish,count
0.0,1
0.5,245993
1.0,44743
1.5,81845
2.0,49509
2.5,17909
3.0,14113
3.5,3965
4.0,1653
4.5,541
5.0,198
5.5,99
6.0,42
6.5,36
7.0,19
7.5,11
8.0,15
8.5,4
9.0,4
9.5,4
10.5,1
12.5,1
99.0,1
100.0,1
