years_to_grant,count
0.5,1
1.0,73
1.5,1720
2.0,1904
2.5,665
3.0,114
3.5,51
4.0,23
4.5,19
5.0,13
5.5,17
6.0,8
6.5,1
7.0,8
7.5,3
8.0,6
8.5,2
9.0,1
