years_to_grant,count
0.0,9
0.5,5119
1.0,16606
1.5,22657
2.0,30378
2.5,36083
3.0,37784
3.5,32166
4.0,26463
4.5,21009
5.0,16425
5.5,12218
6.0,9077
6.5,6621
7.0,4952
7.5,3714
8.0,2680
8.5,2016
9.0,1374
9.5,1005
10.0,613
10.5,454
11.0,229
11.5,152
12.0,86
12.5,41
13.0,28
13.5,17
14.0,2
14.5,5
15.0,1
15.5,1
