years_to_publish,count
0.0,6
0.5,120641
1.0,24036
1.5,45971
2.0,25571
2.5,9064
3.0,5798
3.5,1986
4.0,858
4.5,306
5.0,123
5.5,65
6.0,37
6.5,23
7.0,10
7.5,7
8.0,4
8.5,2
9.0,1
9.5,1
10.0,1
11.0,1
11.5,1
13.5,1
