appl_year,count
2000,1
2001,30
2002,152
2003,1003
2004,2418
2005,3003
2006,3064
2007,3178
2008,3256
2009,3162
2010,3446
2011,3830
2012,4220
2013,4343
2014,4472
2015,4574
2016,2842
2017,1027
