years_to_grant,count
0.0,4
0.5,3066
1.0,10281
1.5,13885
2.0,19329
2.5,23120
3.0,23119
3.5,22377
4.0,19661
4.5,15806
5.0,12687
5.5,9238
6.0,6944
6.5,4841
7.0,3598
7.5,2505
8.0,1748
8.5,1226
9.0,879
9.5,598
10.0,407
10.5,275
11.0,163
11.5,73
12.0,54
12.5,31
13.0,17
13.5,14
14.0,4
14.5,1
15.0,1
