years_to_publish,count
0.0,74
0.5,2055770
1.0,380955
1.5,1042056
2.0,473606
2.5,172712
3.0,121410
3.5,39660
4.0,17483
4.5,6599
5.0,2921
5.5,1508
6.0,863
6.5,533
7.0,309
7.5,248
8.0,174
8.5,78
9.0,83
9.5,50
10.0,33
10.5,23
11.0,11
11.5,14
12.0,15
12.5,4
13.0,2
13.5,3
14.0,1
14.5,5
15.0,3
15.5,1
99.0,1
100.0,2
