appl_year,count
1909,1
1911,1
1913,1
1991,1
1994,2
1995,5
1996,7
1997,5
1998,4
1999,17
2000,131
2001,2507
2002,14376
2003,88930
2004,227917
2005,301574
2006,321336
2007,326925
2008,315832
2009,295356
2010,307140
2011,331500
2012,352881
2013,371713
2014,376794
2015,351824
2016,242460
2017,87970
