years_to_grant,count
0.0,1
0.5,1846
1.0,5538
1.5,10727
2.0,13146
2.5,11958
3.0,10576
3.5,9691
4.0,8821
4.5,7381
5.0,6235
5.5,4846
6.0,3853
6.5,2780
7.0,2030
7.5,1551
8.0,1148
8.5,793
9.0,617
9.5,406
10.0,301
10.5,183
11.0,141
11.5,99
12.0,52
12.5,27
13.0,17
13.5,8
14.0,4
14.5,2
15.5,2
16.5,1
20.5,1
