years_to_grant,count
0.0,9
0.5,3711
1.0,12938
1.5,19610
2.0,22189
2.5,25424
3.0,27751
3.5,26035
4.0,23065
4.5,18861
5.0,14445
5.5,10489
6.0,7453
6.5,5126
7.0,3597
7.5,2547
8.0,1815
8.5,1249
9.0,872
9.5,617
10.0,431
10.5,292
11.0,172
11.5,126
12.0,61
12.5,40
13.0,20
13.5,14
14.0,3
14.5,1
15.0,2
16.0,1
