appl_year,count
1991,1
1995,1
1997,1
2000,13
2001,324
2002,1650
2003,10595
2004,27318
2005,36067
2006,38583
2007,39038
2008,38955
2009,37176
2010,39003
2011,42476
2012,46306
2013,49820
2014,50929
2015,48438
2016,33913
2017,11854
