appl_year,count
1909,1
1911,1
1995,1
1996,1
2000,9
2001,177
2002,1171
2003,7474
2004,21770
2005,31919
2006,34076
2007,35076
2008,35242
2009,33367
2010,33242
2011,35686
2012,38068
2013,39437
2014,39905
2015,37943
2016,26941
2017,9201
