appl_year,count
1913,1
1996,1
1998,1
1999,1
2000,11
2001,388
2002,2901
2003,13035
2004,27655
2005,35101
2006,36481
2007,35963
2008,33783
2009,33310
2010,33964
2011,35125
2012,36242
2013,37688
2014,37685
2015,33118
2016,19394
2017,7557
