appl_year,count
1995,1
1997,1
2000,10
2001,110
2002,639
2003,4345
2004,12695
2005,17428
2006,18435
2007,18458
2008,17494
2009,16483
2010,16964
2011,18070
2012,18433
2013,18969
2014,19519
2015,18398
2016,13120
2017,4942
