years_to_publish,count
0.0,3
0.5,154764
1.0,36219
1.5,89064
2.0,23071
2.5,8862
3.0,7777
3.5,2171
4.0,808
4.5,256
5.0,119
5.5,64
6.0,49
6.5,14
7.0,11
7.5,11
8.0,8
8.5,3
9.0,6
9.5,1
10.0,1
11.0,1
12.0,2
14.5,1
