years_to_grant,count
0.0,3
0.5,2393
1.0,8775
1.5,15245
2.0,20493
2.5,21881
3.0,19146
3.5,15102
4.0,11560
4.5,8261
5.0,5765
5.5,3656
6.0,2309
6.5,1493
7.0,949
7.5,636
8.0,440
8.5,267
9.0,180
9.5,124
10.0,92
10.5,58
11.0,30
11.5,22
12.0,11
12.5,6
13.0,2
13.5,3
14.0,1
