years_to_publish,count
0.0,22
0.5,429097
1.0,73371
1.5,244046
2.0,96691
2.5,33681
3.0,22993
3.5,7390
4.0,3205
4.5,1118
5.0,452
5.5,231
6.0,119
6.5,56
7.0,50
7.5,28
8.0,19
8.5,12
9.0,3
9.5,3
10.0,3
10.5,1
11.0,1
11.5,2
14.5,1
