years_to_grant,count
0.0,14
0.5,7419
1.0,30049
1.5,57399
2.0,74556
2.5,78502
3.0,71284
3.5,56634
4.0,41955
4.5,30960
5.0,22060
5.5,14790
6.0,9874
6.5,6252
7.0,4352
7.5,2810
8.0,1926
8.5,1251
9.0,848
9.5,579
10.0,362
10.5,237
11.0,156
11.5,86
12.0,48
12.5,30
13.0,11
13.5,6
14.0,6
14.5,2
