appl_year,count
1996,2
1997,1
1998,1
1999,3
2000,25
2001,315
2002,857
2003,9752
2004,24837
2005,32900
2006,36134
2007,39516
2008,40129
2009,33620
2010,36368
2011,42814
2012,52738
2013,58599
2014,58987
2015,56560
2016,39583
2017,13675
