appl_year,count
1999,1
2000,8
2001,90
2002,686
2003,6106
2004,17031
2005,23270
2006,25168
2007,25900
2008,24980
2009,22470
2010,23563
2011,25629
2012,26584
2013,26806
2014,26839
2015,24630
2016,17553
2017,5972
