appl_year,count
1991,1
1999,2
2000,12
2001,330
2002,2600
2003,20383
2004,52223
2005,66786
2006,69258
2007,68837
2008,65654
2009,62534
2010,66185
2011,69798
2012,71806
2013,75676
2014,77604
2015,73223
2016,50926
2017,18757
