years_to_grant,count
0.0,1
0.5,272
1.0,1096
1.5,2035
2.0,3153
2.5,3583
3.0,3868
3.5,3613
4.0,2750
4.5,1961
5.0,1450
5.5,988
6.0,669
6.5,444
7.0,294
7.5,177
8.0,126
8.5,85
9.0,46
9.5,30
10.0,23
10.5,9
11.0,9
11.5,5
13.0,2
