years_to_publish,count
0.0,15
0.5,166182
1.0,30088
1.5,86047
2.0,32194
2.5,11481
3.0,12019
3.5,3187
4.0,1375
4.5,536
5.0,243
5.5,111
6.0,70
6.5,41
7.0,18
7.5,14
8.0,12
8.5,7
9.0,7
9.5,2
10.0,1
10.5,1
11.0,1
11.5,2
12.0,2
14.5,1
15.0,1
