years_to_publish,count
0.5,121523
1.0,26107
1.5,25462
2.0,42492
2.5,17326
3.0,10197
3.5,4859
4.0,2455
4.5,1095
5.0,536
5.5,265
6.0,152
6.5,108
7.0,35
7.5,35
8.0,26
8.5,15
9.0,11
9.5,7
10.0,4
10.5,4
11.0,1
12.0,2
12.5,1
13.5,1
14.5,1
15.5,1
