years_to_publish,count
0.0,3
0.5,152343
1.0,23581
1.5,83140
2.0,51314
2.5,17910
3.0,12581
3.5,4055
4.0,1667
4.5,607
5.0,250
5.5,125
6.0,64
6.5,43
7.0,23
7.5,12
8.0,12
8.5,2
9.0,10
9.5,3
10.0,3
10.5,1
12.0,2
13.0,1
