years_to_publish,count
0.0,4
0.5,213643
1.0,44664
1.5,87761
2.0,34987
2.5,12067
3.0,7727
3.5,2467
4.0,1094
4.5,387
5.0,169
5.5,71
6.0,36
6.5,26
7.0,13
7.5,18
8.0,6
8.5,5
9.0,4
9.5,3
10.0,1
10.5,1
11.5,1
