years_to_grant,count
0.0,3
0.5,3640
1.0,13768
1.5,26651
2.0,37248
2.5,35875
3.0,31339
3.5,23584
4.0,16649
4.5,11802
5.0,7735
5.5,4915
6.0,2932
6.5,1807
7.0,1170
7.5,749
8.0,505
8.5,360
9.0,213
9.5,146
10.0,90
10.5,63
11.0,33
11.5,13
12.0,7
12.5,2
13.0,1
13.5,2
14.0,1
