years_to_grant,count
0.0,17
0.5,5162
1.0,17492
1.5,29525
2.0,38720
2.5,41788
3.0,39615
3.5,32359
4.0,24990
4.5,18654
5.0,13948
5.5,9755
6.0,7006
6.5,4707
7.0,3426
7.5,2442
8.0,1795
8.5,1208
9.0,809
9.5,571
10.0,397
10.5,251
11.0,172
11.5,85
12.0,61
12.5,37
13.0,23
13.5,9
14.0,3
14.5,1
15.0,2
16.0,1
