years_to_grant,count
0.0,1
0.5,4671
1.0,16941
1.5,29006
2.0,40026
2.5,41621
3.0,38026
3.5,30736
4.0,23419
4.5,16971
5.0,12140
5.5,8054
6.0,5375
6.5,3542
7.0,2270
7.5,1564
8.0,1037
8.5,689
9.0,462
9.5,301
10.0,184
10.5,139
11.0,77
11.5,45
12.0,31
12.5,9
13.0,8
13.5,2
14.0,2
