appl_year,count
1994,2
1995,3
1996,2
1998,1
1999,7
2000,32
2001,563
2002,2271
2003,6775
2004,14727
2005,17618
2006,19425
2007,19658
2008,18152
2009,17684
2010,18301
2011,18349
2012,19253
2013,20719
2014,20893
2015,19328
2016,13683
2017,5275
