appl_year,count
2000,3
2001,53
2002,366
2003,3376
2004,8097
2005,9776
2006,10091
2007,9946
2008,9147
2009,8576
2010,9230
2011,9827
2012,9977
2013,10826
2014,10769
2015,10479
2016,7378
2017,2613
