years_to_grant,count
0.0,3
0.5,905
1.0,3226
1.5,5760
2.0,7820
2.5,8822
3.0,8122
3.5,6716
4.0,5171
4.5,3819
5.0,2744
5.5,1964
6.0,1349
6.5,859
7.0,640
7.5,446
8.0,311
8.5,225
9.0,126
9.5,99
10.0,66
10.5,40
11.0,24
11.5,10
12.0,8
12.5,5
13.0,4
13.5,1
14.0,2
