years_to_publish,count
0.0,1
0.5,20271
1.0,3261
1.5,13937
2.0,6425
2.5,1928
3.0,1441
3.5,426
4.0,196
4.5,76
5.0,28
5.5,15
6.0,9
6.5,2
7.5,1
8.0,1
9.0,1
10.5,1
13.0,1
