years_to_publish,count
0.0,13
0.5,247097
1.0,47981
1.5,241624
2.0,17959
2.5,8327
3.0,8997
3.5,2405
4.0,1151
4.5,586
5.0,356
5.5,267
6.0,181
6.5,120
7.0,90
7.5,87
8.0,57
8.5,20
9.0,30
9.5,21
10.0,13
10.5,13
11.0,5
11.5,6
12.0,4
13.0,1
13.5,1
14.0,1
14.5,1
15.0,2
