appl_year,count
1997,2
1999,1
2000,13
2001,236
2002,1014
2003,6349
2004,16739
2005,22637
2006,24992
2007,25937
2008,24931
2009,23921
2010,23659
2011,25820
2012,28668
2013,30589
2014,31316
2015,28896
2016,20133
2017,7805
