years_to_grant,count
0.0,2
0.5,5019
1.0,18215
1.5,30441
2.0,38843
2.5,38019
3.0,32891
3.5,25144
4.0,18243
4.5,12725
5.0,8573
5.5,5766
6.0,3837
6.5,2531
7.0,1627
7.5,1110
8.0,719
8.5,519
9.0,299
9.5,204
10.0,134
10.5,66
11.0,47
11.5,42
12.0,23
12.5,7
13.0,4
13.5,1
