years_to_publish,count
0.0,14
0.5,263811
1.0,46863
1.5,143638
2.0,54094
2.5,20288
3.0,15481
3.5,4652
4.0,2059
4.5,764
5.0,344
5.5,174
6.0,104
6.5,59
7.0,30
7.5,26
8.0,17
8.5,7
9.0,13
9.5,6
10.0,5
10.5,4
11.0,1
11.5,2
12.0,2
13.0,1
14.5,2
