years_to_publish,count
0.0,5
0.5,59725
1.0,9205
1.5,42587
2.0,10759
2.5,3921
3.0,2690
3.5,904
4.0,397
4.5,172
5.0,75
5.5,42
6.0,16
6.5,10
7.0,10
7.5,5
8.0,2
9.0,2
9.5,1
10.5,1
11.0,1
