years_to_grant,count
0.0,5
0.5,2094
1.0,7992
1.5,13985
2.0,20105
2.5,24020
3.0,25632
3.5,23016
4.0,18708
4.5,14694
5.0,11170
5.5,7794
6.0,5382
6.5,3428
7.0,2386
7.5,1561
8.0,1060
8.5,682
9.0,480
9.5,312
10.0,189
10.5,115
11.0,69
11.5,39
12.0,22
12.5,12
13.0,7
13.5,1
14.0,1
