years_to_grant,count
0.0,54
0.5,38112
2.0,308127
3.0,317136
4.0,214378
5.0,121311
2.5,331197
1.0,138195
8.0,13324
9.0,6339
10.0,2865
11.0,1149
12.0,395
13.0,121
14.0,25
15.0,4
10.5,1883
13.5,75
8.5,9238
11.5,702
6.5,39515
14.5,11
15.5,3
6.0,59102
20.5,1
7.5,19245
7.0,27713
9.5,4344
1.5,233907
16.5,1
3.5,268625
12.5,207
16.0,1
4.5,163428
5.5,84829
