years_to_publish,count
0.0,7
0.5,204487
1.0,30165
1.5,57096
2.0,99818
2.5,36085
3.0,19208
3.5,7175
4.0,3217
4.5,1167
5.0,475
5.5,210
6.0,113
6.5,66
7.0,40
7.5,25
8.0,15
8.5,8
9.0,7
9.5,5
10.0,6
10.5,1
11.0,1
11.5,2
12.0,3
12.5,2
100.0,1
