years_to_grant,count
0.0,4
0.5,3805
1.0,14033
1.5,23307
2.0,31840
2.5,36315
3.0,37614
3.5,34876
4.0,29253
4.5,21929
5.0,16216
5.5,11117
6.0,7441
6.5,4636
7.0,3052
7.5,2062
8.0,1283
8.5,875
9.0,577
9.5,353
10.0,246
10.5,140
11.0,109
11.5,50
12.0,31
12.5,11
13.0,14
13.5,9
14.0,3
