appl_year,count
1998,1
1999,1
2000,3
2001,113
2002,849
2003,6797
2004,21302
2005,29344
2006,31807
2007,31312
2008,29788
2009,27565
2010,29038
2011,32330
2012,32670
2013,33693
2014,34036
2015,32336
2016,23721
2017,8449
