appl_year,count
1996,1
1997,1
1999,1
2000,8
2001,185
2002,1388
2003,7914
2004,18938
2005,24571
2006,25560
2007,26268
2008,25679
2009,24402
2010,25856
2011,27879
2012,28419
2013,29537
2014,30010
2015,27392
2016,17406
2017,6337
