years_to_publish,count
0.5,213007
1.0,39600
1.5,109562
2.0,45322
2.5,16548
3.0,11216
3.5,3664
4.0,1553
4.5,600
5.0,228
5.5,112
6.0,63
6.5,35
7.0,21
7.5,12
8.0,19
8.5,7
9.0,3
9.5,2
10.0,4
10.5,1
12.0,1
99.0,1
